Allorhizobium naphthalenivorans_A
Allorhizobium rosettiformans
Allorhizobium terrae
Allorhizobium vitis
Allorhizobium vitis_A
Allorhizobium vitis_B
Allorhizobium wuzhouense
Alloscardovia macacae
Alloscardovia omnicolens
Allosediminivita pacifica
Alteraurantiacibacter gangjinensis
Alteribacillus bidgolensis
Alteribacter keqinensis
Alteribacter populi
Alteriqipengyuania bathyomarina
Alteriqipengyuania lutimaris
Alteromonas aggregata
Alteromonas hispanica
Alteromonas indica
Alteromonas lipolytica
Alteromonas naphthalenivorans
Alteromonas pelagimontana
Alysiella crassa
Alysiella filiformis
Amedibacillus dolichus
Amedibacterium intestinale
Aminobacter aganoensis
Aminobacter aminovorans
Aminobacter carboxidus
Aminobacter ciceronei
Aminobacter niigataensis
Amniculibacterium aquaticum
Amphiplicatus metriothermophilus
Amphritea atlantica
Amphritea balenae
Amphritea japonica
Amphritea pacifica
Amycolatopsis alba
Amycolatopsis azurea
Amycolatopsis balhimycina
Amycolatopsis bartoniae
Amycolatopsis dendrobii
Amycolatopsis keratiniphila
Amycolatopsis lurida
Amycolatopsis magusensis
Amycolatopsis nivea
Amycolatopsis orientalis
Amycolatopsis roodepoortensis
Amycolatopsis rubida
Amylolactobacillus amylophilus
Anabaena cylindrica
Anaerobiospirillum_A thomasii
Anaerobutyricum hallii
Anaerobutyricum soehngenii
Anaerobutyricum stercoris
Anaerococcus nagyae
Anaerococcus obesiensis
Anaerococcus octavius
Anaerococcus pacaensis
Anaerococcus vaginimassiliensis
Anaerocolumna aminovalerica
Anaerocolumna cellulosilytica
Anaerofustis stercorihominis
Anaerofustis stercorihominis_A
Anaeroglobus vaginalis
Anaeromassilibacillus stercoravium
Anaeromusa acidaminophila
Anaeromyxobacter dehalogenans
Anaerosalibacter bizertensis
Anaerosalibacter massiliensis
Anaerosphaera mikwangii
Anaerostipes caccae
Anaerostipes faecalis
Anaerostipes hominis
Anaerotignum faecicola
Anaerotignum lactatifermentans
Anaerotignum lactatifermentans_A
Anaerotignum propionicum
Anaerotruncus colihominis
Anaerotruncus massiliensis
Anaerotruncus rubiinfantis
Anaerovibrio lipolyticus
Ancylobacter rudongensis
Aneurinibacillus soli
Aneurinibacillus thermoaerophilus
Anoxybacillus flavithermus_G
Anoxybacillus_A rupiensis
