Taxon name	Taxon ID	Species Name	Genome Length
BK polyomavirus	1891762	Betapolyomavirus hominis	5146
Epstein-Barr virus	3050299	Lymphocryptovirus humangamma4	172146
Human cytomegalovirus	3050295	Cytomegalovirus humanbeta5	214152
Human papillomavirus 11	333754	Alphapapillomavirus 10	7931
Human papillomavirus 16	337041	Alphapapillomavirus 9	7905
Human papillomavirus 18	337042	Alphapapillomavirus 7	7857
Human papillomavirus 26	337044	Alphapapillomavirus 5	7805
Human papillomavirus 31	337041	Alphapapillomavirus 9	7923
Human papillomavirus 33	337041	Alphapapillomavirus 9	7910
Human papillomavirus 35	337041	Alphapapillomavirus 9	7889
Human papillomavirus 39	337042	Alphapapillomavirus 7	7850
Human papillomavirus 40	333757	Alphapapillomavirus 8	7909
Human papillomavirus 42	337048	Alphapapillomavirus 1	7918
Human papillomavirus 43	333757	Alphapapillomavirus 8	NA
Human papillomavirus 44	333754	Alphapapillomavirus 10	7833
Human papillomavirus 45	337042	Alphapapillomavirus 7	7858
Human papillomavirus 51	337044	Alphapapillomavirus 5	7811
Human papillomavirus 52	337041	Alphapapillomavirus 9	7955
Human papillomavirus 53	337050	Alphapapillomavirus 6	7847
Human papillomavirus 54	333766	Alphapapillomavirus 13	7759
Human papillomavirus 56	337050	Alphapapillomavirus 6	7851
Human papillomavirus 58	337041	Alphapapillomavirus 9	7844
Human papillomavirus 59	337042	Alphapapillomavirus 7	7896
Human papillomavirus 6	333754	Alphapapillomavirus 10	7898
Human papillomavirus 61	333767	Alphapapillomavirus 3	8061
Human papillomavirus 66	337050	Alphapapillomavirus 6	7824
Human papillomavirus 68	337042	Alphapapillomavirus 7	7830
Human papillomavirus 69	337044	Alphapapillomavirus 5	7702
Human papillomavirus 70	337042	Alphapapillomavirus 7	7905
Human papillomavirus 73	337049	Alphapapillomavirus 11	7754
Human polyomavirus 6	2955746	Deltapolyomavirus sextihominis	4926
Human polyomavirus 7	2955745	Deltapolyomavirus septihominis	4952
Human polyomavirus 9	2955297	Alphapolyomavirus nonihominis	5027
JC polyomavirus	1891763	Betapolyomavirus secuhominis	5171
KI polyomavirus	1891764	Betapolyomavirus tertihominis	5040
LI polyomavirus	2734294	Alphapolyomavirus quardecihominis	5269
Merkel cell polyomavirus	1891726	Alphapolyomavirus quintihominis	5387
MW polyomavirus	1208309	Deltapolyomavirus decihominis	4927
Simian virus 40	1891767	Betapolyomavirus macacae	5243
STL polyomavirus	1891745	Deltapolyomavirus undecihominis	4776
Trichodysplasia spinulosa-associated polyomavirus	1891727	Alphapolyomavirus octihominis	5232
TSPyV	1891727	Alphapolyomavirus octihominis	5232
WU polyomavirus	1891765	Betapolyomavirus quartihominis	5229
Herpes simplex virus 1	3050292	Simplexvirus humanalpha1	155275
Herpes simplex virus 2	3050293	Simplexvirus humanalpha2	154987
Measles virus	3052345	Morbillivirus hominis	NA
Menangle virus	3052599	Pararubulavirus menangleense	15516
Monkeypox virus	3431483	Orthopoxvirus monkeypox	193392
Mumps virus	3052560	Orthorubulavirus parotitidis	15380
Rubella virus	2846071	Rubivirus rubellae	9762
Varicella-zoster virus	3050294	Varicellovirus humanalpha3	125308
Variola virus	3431487	Orthopoxvirus variola	186087
Human adenovirus A	3241402	Mastadenovirus adami	34077
Human adenovirus B	3241406	Mastadenovirus blackbeardi	34777
Human adenovirus C	3241411	Mastadenovirus caesari	35753
Human adenovirus D	3241420	Mastadenovirus dominans	35160
Human adenovirus E	3241425	Mastadenovirus exoticum	36099
Human adenovirus F	3241426	Mastadenovirus faecale	33926
Human adenovirus G	3241445	Mastadenovirus russelli	21467
Human bocavirus	329641	Human bocavirus	5289
Human coronavirus 229E	3433756	Alphacoronavirus chicagoense	27375
Human coronavirus HKU1	3433758	Betacoronavirus hongkongense	29911
Human coronavirus OC43	3433757	Betacoronavirus gravedinis	30767
Human metapneumovirus	3048148	Metapneumovirus hominis	13319
Human parainfluenza virus 1	3049952	Respirovirus laryngotracheitidis	15600
Human parainfluenza virus 2	3052557	Orthorubulavirus laryngotracheitidis	15649
Human parainfluenza virus 3	3049953	Respirovirus pneumoniae	15430
Human parainfluenza virus 4	3052556	Orthorubulavirus hominis	17235
Human parechovirus	3431395	Parechovirus ahumpari	666
Human parvovirus B19	3052189	Erythroparvovirus primate1	5595
Human respiratory syncytial virus A	3049954	Orthopneumovirus hominis	15191
Human respiratory syncytial virus B	3049954	Orthopneumovirus hominis	15227
Influenza A virus	2955291	Alphainfluenzavirus influenzae	13357
Influenza B virus	2955465	Betainfluenzavirus influenzae	14563
Influenza C virus	2955935	Gammainfluenzavirus influenzae	12430
Middle East respiratory syndrome-related coronavirus	3433633	Betacoronavirus cameli	30150
Rhinovirus A	3428501	Enterovirus alpharhino	6983
Rhinovirus B	3428503	Enterovirus betarhino	6940
Severe acute respiratory syndrome coronavirus	3418604	Betacoronavirus pandemicum	29747
Severe acute respiratory syndrome coronavirus 2	3418604	Betacoronavirus pandemicum	29883
